hero_id,hero,fit,k,separation,item_id,item,imbueable,gap
1,Infernus,families,2,0.657938487585714,2480592370.0,Ricochet,False,0.657938487585714
1,Infernus,imbue,3,0.7537572254335261,2951612397.0,Duration Extender,True,0.7537572254335261
1,Infernus,conditional,2,0.9290132606231621,84321454.0,Quicksilver Reload,True,0.9290132606231621
2,Seven,families,2,0.6436521192142958,3357231760.0,Unstoppable,False,0.6436521192142958
2,Seven,imbue,3,0.4653495633726012,3919289022.0,Mercurial Magnum,True,0.4653495633726012
2,Seven,conditional,3,0.4574106578764287,3919289022.0,Mercurial Magnum,True,0.4574106578764287
3,Vindicta,families,1,,,,False,
3,Vindicta,imbue,3,0.5312274551980845,7409189.0,Improved Spirit,False,0.5312274551980845
3,Vindicta,conditional,1,,,,False,
4,Lady Geist,families,3,0.5562253628291365,3577481646.0,Mystic Reverb,True,0.5562253628291365
4,Lady Geist,imbue,3,0.731789545073263,3577481646.0,Mystic Reverb,True,0.731789545073263
4,Lady Geist,conditional,2,0.49903886342075054,3577481646.0,Mystic Reverb,True,0.49903886342075054
6,Abrams,families,2,0.7640597796295485,1342610602.0,Close Quarters,False,0.7640597796295485
6,Abrams,imbue,3,0.6178107800149009,1150006784.0,Arcane Surge,False,0.6178107800149009
6,Abrams,conditional,3,0.6431575739103932,1150006784.0,Arcane Surge,False,0.6431575739103932
7,Wraith,families,1,,,,False,
7,Wraith,imbue,2,0.7247663632123547,1292979587.0,Surge of Power,True,0.7247663632123547
7,Wraith,conditional,1,,,,False,
8,McGinnis,families,2,0.8048242454699654,2081037738.0,Mystic Vulnerability,False,0.8048242454699654
8,McGinnis,imbue,2,0.7788313689839952,754480263.0,Mystic Expansion,True,0.7788313689839952
8,McGinnis,conditional,3,0.5474179191201577,1150006784.0,Arcane Surge,False,0.5474179191201577
10,Paradox,families,3,0.6383739995121587,343572757.0,Spirit Burn,False,0.6383739995121587
10,Paradox,imbue,3,0.7645588433425338,2951612397.0,Duration Extender,True,0.7645588433425338
10,Paradox,conditional,3,0.624764519343141,380806748.0,Compress Cooldown,True,0.624764519343141
11,Dynamo,families,2,0.6873648573899751,677738769.0,Refresher,False,0.6873648573899751
11,Dynamo,imbue,3,0.5764730119489081,2951612397.0,Duration Extender,True,0.5764730119489081
11,Dynamo,conditional,3,0.48151268929671454,2951612397.0,Duration Extender,True,0.48151268929671454
12,Kelvin,families,2,0.5363901804068103,3005970438.0,Escalating Exposure,False,0.5363901804068103
12,Kelvin,imbue,1,,,,False,
12,Kelvin,conditional,2,0.7302388341379886,3577481646.0,Mystic Reverb,True,0.7302388341379886
13,Haze,families,2,0.48803048969122703,2480592370.0,Ricochet,False,0.48803048969122703
13,Haze,imbue,2,0.8916624795083261,1292979587.0,Surge of Power,True,0.8916624795083261
13,Haze,conditional,1,,,,False,
14,Holliday,families,3,0.7695120401933585,2152872419.0,Sharpshooter,False,0.7695120401933585
14,Holliday,imbue,3,0.693074240159442,2951612397.0,Duration Extender,True,0.693074240159442
14,Holliday,conditional,2,0.4791592395422275,2951612397.0,Duration Extender,True,0.4791592395422275
15,Bebop,families,2,0.6314648169861697,2010028405.0,Headshot Booster,False,0.6314648169861697
15,Bebop,imbue,3,0.5146289719344573,2010028405.0,Headshot Booster,False,0.5146289719344573
15,Bebop,conditional,2,0.5560852493490065,754480263.0,Mystic Expansion,True,0.5560852493490065
16,Calico,families,1,,,,False,
16,Calico,imbue,2,0.926052332195677,380806748.0,Compress Cooldown,True,0.926052332195677
16,Calico,conditional,1,,,,False,
17,Grey Talon,families,3,0.4628950714277147,2152872419.0,Sharpshooter,False,0.4628950714277147
17,Grey Talon,imbue,3,0.5630677982862327,380806748.0,Compress Cooldown,True,0.5630677982862327
17,Grey Talon,conditional,2,0.5644703165747595,3577481646.0,Mystic Reverb,True,0.5644703165747595
18,Mo & Krill,families,1,,,,False,
