hero_id,hero,fit,gated,k,separation,item_id,item,gap,names,ari
1,Infernus,families,False,2,0.647293008870802,2480592370.0,Ricochet,0.647293008870802,Gun Infernus / Spirit Infernus,1.0
1,Infernus,order,False,2,0.6278772369019565,787198704.0,Rapid Recharge,0.6278772369019565,Gun Infernus / Spirit Infernus,0.8012149760019206
1,Infernus,effects,False,2,0.6147846000845801,2480592370.0,Ricochet,0.6147846000845801,Gun Infernus / Spirit Infernus,0.8074279515914188
1,Infernus,effects_t5,False,3,0.49176851373042113,4104549924.0,Swift Striker,0.49176851373042113,Gun Infernus / Infernus / Spirit Infernus,0.27831714310549743
1,Infernus,gunproc,True,2,0.4546771190652348,787198704.0,Rapid Recharge,0.4546771190652348,Hybrid-Gun Infernus / Spirit Infernus,0.22294248697065597
1,Infernus,reroute,True,2,0.6489342327390051,787198704.0,Rapid Recharge,0.6489342327390051,Gun Infernus / Spirit Infernus,0.6387194993846987
2,Seven,families,False,3,0.5176833396881051,3919289022.0,Mercurial Magnum,0.5176833396881051,Gun Seven / Hybrid-Tank Seven / Spirit Seven,1.0
2,Seven,order,False,3,0.5210272169332792,3919289022.0,Mercurial Magnum,0.5210272169332792,Gun Seven / Hybrid-Tank Seven / Spirit Seven,0.9122540248873299
2,Seven,effects,False,3,0.5027657229113082,3919289022.0,Mercurial Magnum,0.5027657229113082,Gun Seven / Seven / Spirit Seven,0.7467243567961365
2,Seven,effects_t5,False,2,0.47127480038912883,1150006784.0,Arcane Surge,0.47127480038912883,Spirit Seven / Spirit Seven,0.03856517664171724
2,Seven,gunproc,False,3,0.5176833396881051,3919289022.0,Mercurial Magnum,0.5176833396881051,Gun Seven / Hybrid-Tank Seven / Spirit Seven,1.0
2,Seven,reroute,False,3,0.5176833396881051,3919289022.0,Mercurial Magnum,0.5176833396881051,Gun Seven / Hybrid-Tank Seven / Spirit Seven,1.0
3,Vindicta,families,False,1,,,,,Vindicta,1.0
3,Vindicta,order,False,1,,,,,Vindicta,1.0
3,Vindicta,effects,False,2,0.5069727600163141,2356412290.0,Titanic Magazine,0.5069727600163141,Gun Vindicta / Spirit Vindicta,0.0
3,Vindicta,effects_t5,False,1,,,,,Vindicta,1.0
3,Vindicta,gunproc,True,1,,,,,Vindicta,1.0
3,Vindicta,reroute,True,1,,,,,Vindicta,1.0
4,Lady Geist,families,False,3,0.5738578576071207,3577481646.0,Mystic Reverb,0.5738578576071207,Gun Lady Geist / Spirit Lady Geist / Spirit Lady Geist,1.0
4,Lady Geist,order,False,3,0.614512404530722,3577481646.0,Mystic Reverb,0.614512404530722,Gun Lady Geist / Spirit Lady Geist / Spirit Lady Geist,0.8623488995999044
4,Lady Geist,effects,False,3,0.6386270639205115,3577481646.0,Mystic Reverb,0.6386270639205115,Gun Lady Geist / Spirit Lady Geist / Spirit Lady Geist,0.7246263341895229
4,Lady Geist,effects_t5,False,2,0.7568067606531292,2121044373.0,Tankbuster,0.7568067606531292,Gun Lady Geist / Spirit Lady Geist,0.26599170340501477
4,Lady Geist,gunproc,False,3,0.5738578576071207,3577481646.0,Mystic Reverb,0.5738578576071207,Gun Lady Geist / Spirit Lady Geist / Spirit Lady Geist,1.0
4,Lady Geist,reroute,False,3,0.5738578576071207,3577481646.0,Mystic Reverb,0.5738578576071207,Gun Lady Geist / Spirit Lady Geist / Spirit Lady Geist,1.0
6,Abrams,families,False,2,0.7537907301491451,1342610602.0,Close Quarters,0.7537907301491451,Hybrid-Spirit Abrams / Melee Abrams,1.0
6,Abrams,order,False,3,0.4583707303976567,1371725689.0,Phantom Strike,0.4583707303976567,Hybrid-Melee Abrams / Hybrid-Spirit Abrams / Melee Abrams,0.39399887541745854
6,Abrams,effects,False,2,0.778605452518496,1150006784.0,Arcane Surge,0.778605452518496,Hybrid-Spirit Abrams / Melee Abrams,0.8974466034968636
6,Abrams,effects_t5,False,2,0.8021350210178902,1150006784.0,Arcane Surge,0.8021350210178902,Hybrid-Spirit Abrams / Melee Abrams,0.7344994506527212
6,Abrams,gunproc,True,2,0.4812786493857274,1342610602.0,Close Quarters,0.4812786493857274,Hybrid-Spirit Abrams / Melee Abrams,0.5007975993169642
6,Abrams,reroute,True,3,0.4974510772590914,1371725689.0,Phantom Strike,0.4974510772590914,Hybrid-Spirit Abrams / Melee Abrams / Melee Abrams,0.34153559850417003
7,Wraith,families,False,1,,,,,Wraith,1.0
7,Wraith,order,False,2,0.4517626824362169,2226497419.0,Spiritual Overflow,0.4517626824362169,Gun Wraith / Hybrid-Spirit Wraith,0.0
7,Wraith,effects,False,1,,,,,Wraith,1.0
7,Wraith,effects_t5,False,1,,,,,Wraith,1.0
7,Wraith,gunproc,True,2,0.5702834592657748,2226497419.0,Spiritual Overflow,0.5702834592657748,Gun Wraith / Spirit Wraith,0.0
7,Wraith,reroute,True,1,,,,,Wraith,1.0
8,McGinnis,families,False,2,0.78507681465821,2081037738.0,Mystic Vulnerability,0.78507681465821,Gun McGinnis / Spirit McGinnis,1.0
8,McGinnis,order,False,2,0.7859013376902746,2081037738.0,Mystic Vulnerability,0.7859013376902746,Gun McGinnis / Spirit McGinnis,0.9964300150368869
8,McGinnis,effects,False,3,0.5584495720910397,2566692615.0,Healing Booster,0.5584495720910397,Gun McGinnis / McGinnis / Spirit McGinnis,0.5276229622033988
8,McGinnis,effects_t5,False,3,0.5094145876894756,1150006784.0,Arcane Surge,0.5094145876894756,Gun McGinnis / Spirit McGinnis / Spirit McGinnis,0.5146422489710298
8,McGinnis,gunproc,False,2,0.78507681465821,2081037738.0,Mystic Vulnerability,0.78507681465821,Gun McGinnis / Spirit McGinnis,1.0
8,McGinnis,reroute,False,2,0.78507681465821,2081037738.0,Mystic Vulnerability,0.78507681465821,Gun McGinnis / Spirit McGinnis,1.0
10,Paradox,families,False,3,0.6647679564479602,343572757.0,Spirit Burn,0.6647679564479602,Gun Paradox / Gun Paradox / Spirit Paradox,1.0
10,Paradox,order,False,3,0.6541768137944268,343572757.0,Spirit Burn,0.6541768137944268,Gun Paradox / Gun Paradox / Spirit Paradox,0.9611301038111627
10,Paradox,effects,False,2,0.8580219822964549,754480263.0,Mystic Expansion,0.8580219822964549,Gun Paradox / Spirit Paradox,0.2847214363673482
10,Paradox,effects_t5,False,2,0.8422685980686189,2951612397.0,Duration Extender,0.8422685980686189,Gun Paradox / Spirit Paradox,0.2509119165193206
10,Paradox,gunproc,True,2,0.5196650269391442,3577481646.0,Mystic Reverb,0.5196650269391442,Gun Paradox / Spirit Paradox,0.1341913912482222
10,Paradox,reroute,True,2,0.8447916959746795,2152872419.0,Sharpshooter,0.8447916959746795,Gun Paradox / Spirit Paradox,0.2987561131021363
11,Dynamo,families,False,2,0.6749814330395562,677738769.0,Refresher,0.6749814330395562,Dynamo / Hybrid-Gun Dynamo,1.0
11,Dynamo,order,False,2,0.6839800621034353,677738769.0,Refresher,0.6839800621034353,Dynamo / Hybrid-Gun Dynamo,0.952124343930622
11,Dynamo,effects,False,2,0.6859740420891776,677738769.0,Refresher,0.6859740420891776,Dynamo / Hybrid-Gun Dynamo,0.9234261469623241
11,Dynamo,effects_t5,False,2,0.5392632589852471,787198704.0,Rapid Recharge,0.5392632589852471,Dynamo / Support Dynamo,-0.008044069487938201
11,Dynamo,gunproc,False,2,0.6749814330395562,677738769.0,Refresher,0.6749814330395562,Dynamo / Hybrid-Gun Dynamo,1.0
11,Dynamo,reroute,False,2,0.6749814330395562,677738769.0,Refresher,0.6749814330395562,Dynamo / Hybrid-Gun Dynamo,1.0
12,Kelvin,families,False,2,0.4546088727504657,3005970438.0,Escalating Exposure,0.4546088727504657,Spirit Kelvin / Support Kelvin,1.0
12,Kelvin,order,False,2,0.5013987413147077,3005970438.0,Escalating Exposure,0.5013987413147077,Spirit Kelvin / Support Kelvin,0.8733149986723502
12,Kelvin,effects,False,2,0.4692672411709835,3005970438.0,Escalating Exposure,0.4692672411709835,Spirit Kelvin / Support Kelvin,0.8106573273786255
12,Kelvin,effects_t5,False,3,0.4684738017937981,787198704.0,Rapid Recharge,0.4684738017937981,Spirit Kelvin / Spirit Kelvin / Support Kelvin,0.11273580402391081
12,Kelvin,gunproc,False,2,0.4546088727504657,3005970438.0,Escalating Exposure,0.4546088727504657,Spirit Kelvin / Support Kelvin,1.0
12,Kelvin,reroute,False,2,0.4546088727504657,3005970438.0,Escalating Exposure,0.4546088727504657,Spirit Kelvin / Support Kelvin,1.0
13,Haze,families,False,3,0.4601699246199055,3357231760.0,Unstoppable,0.4601699246199055,Gun Haze / Haze / Spirit Haze,1.0
13,Haze,order,False,1,,,,,Haze,0.0
13,Haze,effects,False,3,0.4771992295738714,865958998.0,Veil Walker,0.4771992295738714,Gun Haze / Haze / Hybrid-Spirit Haze,0.5488677085125734
13,Haze,effects_t5,False,2,0.5796017834710783,499683006.0,Bullet Lifesteal,0.5796017834710783,Gun Haze / Haze,0.07971786084126836
13,Haze,gunproc,True,2,0.5709507595366023,2226497419.0,Spiritual Overflow,0.5709507595366023,Gun Haze / Spirit Haze,0.15326097149560045
13,Haze,reroute,True,2,0.6194827035314585,3357231760.0,Unstoppable,0.6194827035314585,Haze / Hybrid-Tank Haze,0.32867775625427537
14,Holliday,families,False,3,0.748544376305681,2152872419.0,Sharpshooter,0.748544376305681,Gun Holliday / Spirit Holliday / Spirit Holliday,1.0
